id,#points,#weights,#clauses,#clusters,timeout,solving time (s),encoding time (s),cluster construction time (s),memory(MB)
./bench/random_19_orig_benchmark,19,19,3073,4,False,3.26,0.006355762481689453,0.0014476776123046875,42
./bench/random_16_orig_benchmark,16,16,1794,3,False,0.132,0.004426002502441406,0.0008461475372314453,40
./bench/random_23_orig_benchmark,23,23,5552,3,False,2.416,0.013275861740112305,0.0019631385803222656,50
./bench/random_17_orig_benchmark,17,17,2168,3,False,0.208,0.0064907073974609375,0.0009028911590576172,40
./bench/random_28_orig_benchmark,28,28,10189,0,True,0.0,0.024091243743896484,0.0,0
./bench/random_29_orig_benchmark,29,29,11355,4,False,475.736,0.027854204177856445,0.0033550262451171875,117
./bench/random_11_orig_benchmark,11,11,545,4,False,0.024,0.0010535717010498047,0.00036716461181640625,40
./bench/random_15_orig_benchmark,15,15,1463,4,False,0.04,0.0032444000244140625,0.000705718994140625,40
./bench/random_13_orig_benchmark,13,13,933,4,False,0.028,0.0021314620971679688,0.0005469322204589844,40
./bench/random_25_orig_benchmark,25,25,7186,4,False,43.948,0.017633438110351562,0.002492189407348633,55
./bench/random_21_orig_benchmark,21,21,4192,3,False,3.424,0.020391464233398438,0.001577615737915039,45
./bench/random_26_orig_benchmark,26,26,8111,5,False,158.86,0.018805742263793945,0.00257110595703125,63
./bench/random_14_orig_benchmark,14,14,1180,3,False,0.136,0.0028455257415771484,0.0006129741668701172,40
./bench/random_10_orig_benchmark,10,10,402,3,False,0.008,0.0008518695831298828,0.00031495094299316406,40
./bench/selfesteem_benchmark,10,10,398,2,False,0.012,0.0008573532104492188,0.0003037452697753906,40
./bench/random_27_orig_benchmark,27,27,9108,3,False,59.252,0.02066326141357422,0.0026366710662841797,65
./bench/random_22_orig_benchmark,22,22,4843,4,False,10.704,0.0124969482421875,0.0017254352569580078,50
./bench/random_12_orig_benchmark,12,12,723,3,False,0.02,0.0014715194702148438,0.0004296302795410156,40
./bench/random_20_orig_benchmark,20,20,3603,4,False,0.356,0.008104085922241211,0.001596212387084961,42
./bench/random_18_orig_benchmark,18,18,2593,5,False,4.436,0.006069660186767578,0.0012097358703613281,40
./bench/random_24_orig_benchmark,24,24,6342,5,False,30.488,0.015748262405395508,0.002169370651245117,62
